Pendolo inverso attivazione
(dt=10, OCR2A=156, Prescaler=1024)
PWM	mStep	mVel	mAcc
-255	3609	-94	-1
-255	3517	-92	2
-255	3424	-93	-1
-255	3332	-92	1
-255	3239	-93	-1
-255	3146	-93	0
-255	3054	-92	1
-255	2961	-93	-1
-255	2867	-94	-1
-255	2774	-93	1
-255	2680	-94	-1
-255	2588	-92	2
-255	2495	-93	-1
-255	2403	-92	1
-255	2310	-93	-1
-255	2218	-92	1
-255	2125	-93	-1
-255	2033	-92	1
-255	1940	-93	-1
-255	1848	-92	1
-255	1755	-93	-1
-255	1663	-92	1
-255	1570	-93	-1
-255	1478	-92	1
-255	1385	-93	-1
-255	1292	-93	0
-255	1198	-94	-1
-255	1106	-92	2
-255	1015	-91	1
-255	922	-93	-2
-255	828	-94	-1
-255	733	-95	-1
-255	639	-94	1
-255	546	-93	1
-255	452	-94	-1
-255	359	-93	1
-255	265	-94	-1
-255	172	-93	1
-255	78	-94	-1
-255	-17	-95	-1
-255	-111	-94	1
-255	-204	-93	1
-255	-298	-94	-1
-255	-391	-93	1
0	-485	-94	-1
0	-579	-94	0
0	-670	-91	3
0	-759	-89	2
0	-847	-88	1
0	-932	-85	3
0	-1015	-83	2
0	-1097	-82	1
0	-1176	-79	3
0	-1253	-77	2
0	-1328	-75	2
0	-1401	-73	2
0	-1473	-72	1
0	-1542	-69	3
0	-1609	-67	2
0	-1675	-66	1
0	-1738	-63	3
0	-1800	-62	1
0	-1860	-60	2
0	-1918	-58	2
0	-1974	-56	2
0	-2028	-54	2
0	-2081	-53	1
0	-2132	-51	2
0	-2181	-49	2
0	-2230	-49	0
0	-2277	-47	2
0	-2321	-44	3
0	-2365	-44	0
0	-2407	-42	2
0	-2447	-40	2
0	-2484	-37	3
0	-2519	-35	2
0	-2555	-36	-1
0	-2589	-34	2
0	-2621	-32	2
0	-2652	-31	1
0	-2683	-31	0
0	-2712	-29	2
0	-2740	-28	1
0	-2766	-26	2
0	-2790	-24	2
0	-2811	-21	3
0	-2833	-22	-1
0	-2853	-20	2
0	-2871	-18	2
0	-2888	-17	1
0	-2904	-16	1
0	-2918	-14	2
0	-2931	-13	1
0	-2942	-11	2
0	-2951	-9	2
0	-2960	-9	0
0	-2967	-7	2
0	-2973	-6	1
0	-2977	-4	2
0	-2980	-3	1
0	-2982	-2	1
0	-2982	0	2
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
0	-2982	0	0
255	-2982	0	0
255	-2974	8	8
255	-2950	24	16
255	-2912	38	14
255	-2861	51	13
255	-2798	63	12
255	-2726	72	9
255	-2647	79	7
255	-2564	83	4
255	-2477	87	4
255	-2389	88	1
255	-2298	91	3
255	-2206	92	1
255	-2115	91	-1
255	-2023	92	1
255	-1931	92	0
255	-1838	93	1
255	-1745	93	0
255	-1653	92	-1
255	-1559	94	2
255	-1466	93	-1
255	-1373	93	0
255	-1280	93	0
255	-1186	94	1
255	-1093	93	-1
255	-1000	93	0
255	-906	94	1
255	-811	95	1
255	-717	94	-1
255	-622	95	1
255	-527	95	0
255	-433	94	-1
255	-338	95	1
255	-242	96	1
255	-147	95	-1
255	-51	96	1
255	44	95	-1
255	139	95	0
255	233	94	-1
255	328	95	1
255	422	94	-1
255	517	95	1
255	613	96	1
255	708	95	-1
255	804	96	1
255	899	95	-1
255	995	96	1
255	1090	95	-1
255	1184	94	-1
255	1279	95	1
255	1373	94	-1
255	1468	95	1
255	1561	93	-2
255	1655	94	1
255	1748	93	-1
255	1842	94	1
255	1936	94	0
255	2031	95	1
255	2125	94	-1
255	2218	93	-1
255	2312	94	1
255	2405	93	-1
255	2499	94	1
255	2592	93	-1
255	2686	94	1
255	2780	94	0
255	2875	95	1
255	2969	94	-1
255	3062	93	-1
255	3156	94	1
255	3250	94	0
255	3345	95	1
255	3439	94	-1
255	3533	94	0
255	3626	93	-1
255	3720	94	1
255	3814	94	0
255	3909	95	1
255	4003	94	-1
255	4097	94	0
255	4192	95	1
255	4286	94	-1
255	4380	94	0
255	4473	93	-1
255	4567	94	1
255	4660	93	-1
255	4752	92	-1
255	4846	94	2
255	4940	94	0
255	5036	96	2
255	5131	95	-1
255	5225	94	-1
255	5318	93	-1
255	5412	94	1
255	5506	94	0
255	5599	93	-1
255	5693	94	1
255	5787	94	0
255	5881	94	0
255	5975	94	0
255	6069	94	0
255	6164	95	1
255	6258	94	-1
255	6352	94	0
255	6446	94	0
255	6542	96	2
255	6637	95	-1
255	6731	94	-1
255	6825	94	0
255	6919	94	0
255	7013	94	0
255	7108	95	1
255	7202	94	-1
255	7296	94	0
255	7390	94	0
255	7483	93	-1
255	7578	95	2
255	7671	93	-2
255	7765	94	1
255	7859	94	0
255	7953	94	0
255	8047	94	0
255	8140	93	-1
255	8234	94	1
255	8328	94	0
255	8422	94	0
255	8516	94	0
255	8610	94	0
255	8704	94	0
255	8799	95	1
255	8893	94	-1
255	8987	94	0
255	9081	94	0
255	9175	94	0
255	9269	94	0
255	9363	94	0
255	9457	94	0
255	9553	96	2
255	9648	95	-1
255	9742	94	-1
255	9836	94	0
255	9930	94	0
255	10024	94	0
255	10118	94	0
255	10212	94	0
255	10306	94	0
255	10400	94	0
255	10493	93	-1
255	10586	93	0
255	10679	93	0
255	10771	92	-1
255	10863	92	0
255	10957	94	2
255	11051	94	0
255	11145	94	0
255	11239	94	0
255	11332	93	-1
255	11425	93	0
255	11518	93	0
255	11610	92	-1
255	11702	92	0
255	11794	92	0
255	11888	94	2
255	11982	94	0
255	12076	94	0
255	12169	93	-1
255	12261	92	-1
255	12353	92	0
255	12447	94	2
255	12541	94	0
255	12635	94	0
255	12729	94	0
255	12823	94	0
255	12917	94	0
255	13010	93	-1
255	13103	93	0
255	13196	93	0
255	13288	92	-1
255	13380	92	0
255	13472	92	0
255	13566	94	2
255	13660	94	0
255	13754	94	0
255	13848	94	0
255	13942	94	0
255	14036	94	0
255	14130	94	0
255	14224	94	0
255	14317	93	-1
255	14410	93	0
1000	14503	93	0
1000	14582	79	-14
