Pendolo inverso attivazione
(dt=10, OCR2A=156, Prescaler=1024)
PWM	mStep	mVel	mAcc
0	35788	67	2
0	35853	65	-2
0	35919	66	1
0	35984	65	-1
0	36049	65	0
0	36114	65	0
0	36178	64	-1
0	36243	65	1
0	36307	64	-1
0	36372	65	1
0	36436	64	-1
0	36501	65	1
0	36565	64	-1
0	36629	64	0
0	36693	64	0
0	36756	63	-1
0	36820	64	1
0	36883	63	-1
0	36946	63	0
0	37010	64	1
0	37072	62	-2
0	37135	63	1
0	37198	63	0
0	37260	62	-1
0	37322	62	0
0	37384	62	0
0	37447	63	1
0	37509	62	-1
0	37571	62	0
0	37632	61	-1
0	37693	61	0
0	37753	60	-1
0	37811	58	-2
0	37867	56	-2
0	37921	54	-2
0	37972	51	-3
0	38024	52	1
0	38087	63	11
0	38149	62	-1
0	38209	60	-2
0	38268	59	-1
0	38329	61	2
0	38389	60	-1
0	38448	59	-1
0	38508	60	1
0	38568	60	0
0	38629	61	1
0	38687	58	-3
0	38747	60	2
0	38807	60	0
0	38865	58	-2
0	38924	59	1
0	38983	59	0
0	39041	58	-1
0	39100	59	1
0	39158	58	-1
0	39218	60	2
0	39275	57	-3
0	39333	58	1
0	39392	59	1
0	39449	57	-2
0	39506	57	0
0	39564	58	1
0	39621	57	-1
0	39679	58	1
0	39735	56	-2
0	39794	59	3
0	39851	57	-2
0	39907	56	-1
0	39964	57	1
0	40021	57	0
0	40077	56	-1
0	40133	56	0
0	40189	56	0
0	40245	56	0
0	40302	57	1
0	40357	55	-2
0	40413	56	1
0	40468	55	-1
0	40524	56	1
0	40580	56	0
0	40634	54	-2
0	40690	56	2
0	40745	55	-1
0	40799	54	-1
0	40855	56	2
0	40909	54	-2
0	40963	54	0
0	41018	55	1
0	41072	54	-1
0	41126	54	0
0	41180	54	0
0	41234	54	0
0	41288	54	0
0	41341	53	-1
0	41395	54	1
0	41449	54	0
0	41502	53	-1
0	41555	53	0
0	41608	53	0
0	41660	52	-1
0	41713	53	1
0	41766	53	0
0	41818	52	-1
0	41871	53	1
0	41923	52	-1
